# expressionID, sessionQuesID, expTimestamp, gender, glasses, age, ethnicity, joy, sadness, disgust, contempt, anger, fear, surprise, valence, engagement, smile, innerBrowRaise, browRaise, browFurrow, noseWrinkle, upperLipRaise, lipCornerDepressor, chinRaise, lipPucker, lipPress, lipSuck, mouthOpen, smirk, eyeClosure, attention, lidTighten, jawDrop, dimpler, eyeWiden, cheekRaise, lipStretch
49, 1, 1511889341164, Female, No, 18 - 24, East Asian, 99, 0, 0, 0, 0, 0, 0, 64, 100, 99, 0, 0, 0, 13, 0, 0, 3, 0, 88, 0, 0, 0, 0, 99, 9, 0, 0, 0, 100, 18
50, 1, 1511889341270, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 0, 62, 100, 99, 0, 0, 0, 15, 0, 0, 2, 0, 92, 0, 0, 0, 0, 98, 8, 0, 0, 0, 100, 16
51, 1, 1511889341400, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 0, 66, 100, 99, 0, 0, 0, 9, 0, 0, 2, 0, 92, 0, 0, 0, 0, 98, 7, 0, 0, 0, 100, 10
52, 1, 1511889341577, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 0, 67, 100, 99, 0, 0, 0, 6, 0, 0, 2, 0, 90, 0, 0, 0, 1, 98, 7, 0, 0, 0, 100, 7
53, 1, 1511889341747, Female, No, 18 - 24, East Asian, 98, 0, 0, 0, 0, 0, 0, 66, 100, 90, 0, 0, 0, 7, 0, 0, 2, 0, 92, 0, 0, 0, 1, 99, 10, 0, 0, 0, 100, 2
54, 1, 1511889341933, Female, No, 18 - 24, East Asian, 0, 0, 6, 0, 0, 0, 0, 16, 100, 14, 0, 0, 0, 7, 0, 0, 4, 0, 92, 0, 0, 0, 1, 99, 9, 0, 0, 0, 100, 1
55, 1, 1511889342064, Female, No, 18 - 24, East Asian, 0, 0, 5, 0, 0, 0, 0, 5, 97, 0, 0, 0, 0, 1, 0, 0, 7, 0, 89, 0, 0, 0, 0, 99, 2, 0, 0, 0, 98, 0
56, 1, 1511889342202, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 2, 34, 0, 0, 0, 0, 0, 0, 0, 6, 1, 91, 0, 0, 0, 0, 99, 1, 0, 0, 0, 91, 0
57, 1, 1511889342348, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 9, 2, 95, 0, 0, 0, 0, 98, 0, 0, 0, 0, 48, 0
58, 1, 1511889342471, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, -17, 41, 0, 0, 0, 0, 0, 0, 0, 4, 6, 94, 0, 0, 0, 0, 99, 0, 0, 0, 1, 6, 0
59, 1, 1511889342617, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, -19, 42, 0, 0, 0, 0, 0, 0, 0, 5, 23, 95, 0, 0, 0, 0, 98, 0, 0, 0, 1, 2, 0
60, 1, 1511889342765, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, -20, 45, 0, 0, 0, 0, 0, 0, 0, 5, 38, 97, 0, 0, 0, 0, 98, 0, 0, 0, 1, 2, 0
