# gazeID, sessionQuesID, gazeTimestamp, x, y, confidence
440, 5, 1511889630895, 621.583, 601.951, 0.264116
441, 5, 1511889630999, 595.801, 604.401, 0.236903
442, 5, 1511889631171, 541.203, 594.399, 0.215003
443, 5, 1511889631245, 607.649, 600.521, 0.289049
444, 5, 1511889631375, 630.313, 607.31, 0.340253
445, 5, 1511889631462, 613.828, 607.839, 0.283266
446, 5, 1511889631569, 607.735, 609.065, 0.364623
447, 5, 1511889631665, 631.073, 613.601, 0.415398
448, 5, 1511889631740, 644.707, 613.791, 0.396772
449, 5, 1511889631862, 633.081, 612.958, 0.39346
450, 5, 1511889631903, 629.316, 611.74, 0.419118
451, 5, 1511889631999, 657.718, 613.445, 0.363003
452, 5, 1511889632161, 613.21, 613.905, 0.392284
453, 5, 1511889632303, 586.61, 611.371, 0.351392
454, 5, 1511889632407, 563.675, 609.469, 0.332067
455, 5, 1511889632567, 569.687, 608.526, 0.339405
456, 5, 1511889632705, 536.073, 600.979, 0.24503
457, 5, 1511889632877, 552.019, 611.125, 0.392612
458, 5, 1511889633001, 548.039, 609.433, 0.440945
459, 5, 1511889633139, 552.63, 586.399, 0.198887
460, 5, 1511889633280, 549.818, 567.382, 0.210165
461, 5, 1511889633301, 555.243, 563.206, 0.193898
462, 5, 1511889633502, 567.266, 571.372, 0.181538
463, 5, 1511889633598, 578.055, 589.545, 0.287882
464, 5, 1511889633704, 616.687, 602.45, 0.354544
465, 5, 1511889633810, 602.32, 604.529, 0.3025
466, 5, 1511889633906, 580.512, 606.811, 0.312066
467, 5, 1511889634098, 603.895, 609.524, 0.347242
468, 5, 1511889634141, 613.08, 610.855, 0.361126
469, 5, 1511889634304, 673.759, 607.962, 0.417714
470, 5, 1511889634414, 712.947, 608.715, 0.269543
471, 5, 1511889634473, 732.505, 594.109, 0.530765
472, 5, 1511889634603, 712.478, 576.795, 0.722756
473, 5, 1511889634699, 702.584, 556.358, 1.09854
474, 5, 1511889634794, 686.166, 535.605, 0.712097
475, 5, 1511889634947, 791.433, 493.737, 1.23826
476, 5, 1511889635008, 790.455, 469.233, 1.08185
477, 5, 1511889635170, 954.362, 318.773, 2.13636
478, 5, 1511889635298, 919.224, 309.658, 1.55159
479, 5, 1511889635403, 961.718, 354.184, 1.66013
480, 5, 1511889635512, 1017.25, 423.34, 1.19069
481, 5, 1511889635541, 923.729, 472.644, 0.595193
482, 5, 1511889635701, 815.75, 541.577, 0.456469
483, 5, 1511889635798, 784.19, 561.467, 0.425286
484, 5, 1511889635839, 744.924, 572.639, 0.400664
485, 5, 1511889635967, 741.455, 572.475, 0.53877
486, 5, 1511889636096, 726.117, 569.365, 0.737194
487, 5, 1511889636203, 726.28, 565.274, 0.741109
488, 5, 1511889636342, 785.721, 539.532, 1.25502
489, 5, 1511889636504, 739.992, 553.459, 0.805098
490, 5, 1511889636569, 720.698, 558.515, 0.948878
491, 5, 1511889636667, 667.477, 571.59, 0.716915
492, 5, 1511889636804, 664.209, 574.132, 0.784429
493, 5, 1511889636881, 664.818, 574.875, 0.708787
494, 5, 1511889637001, 634.613, 581.122, 0.611882
495, 5, 1511889637173, 575.04, 594.173, 0.311342
496, 5, 1511889637341, 527.492, 580.001, 0.334397
497, 5, 1511889637405, 563.486, 586.445, 0.296013
498, 5, 1511889637575, 586.772, 596.909, 0.522586
499, 5, 1511889637672, 602.906, 597.177, 0.286616
500, 5, 1511889637745, 600.218, 594.139, 0.228776
501, 5, 1511889637905, 617.519, 585.331, 0.326557
502, 5, 1511889638042, 609.51, 574.749, 0.292442
503, 5, 1511889638151, 550.018, 566.634, 0.296008
504, 5, 1511889638299, 501.401, 596.929, 0.300366
505, 5, 1511889638405, 450.062, 585.726, 0.513177
506, 5, 1511889638596, 527.203, 579.087, 0.275343
507, 5, 1511889638742, 535.354, 585.261, 0.361375
508, 5, 1511889638948, 575.326, 576.416, 0.312497
509, 5, 1511889639207, 585.06, 581.405, 0.47752
510, 5, 1511889639239, 557.571, 579.504, 0.456494
511, 5, 1511889639551, 511.51, 539.461, 0.330385
512, 5, 1511889639744, 532.66, 510.651, 0.623498
513, 5, 1511889639969, 612.926, 566.051, 0.797777
514, 5, 1511889640141, 630.648, 573.379, 0.727052
515, 6, 1511889640346, 550.853, 584.612, 0.41859
516, 6, 1511889640444, 542.325, 587.398, 0.393822
517, 6, 1511889640608, 499.456, 574.235, 0.342562
518, 6, 1511889640708, 472.6, 557.104, 0.35053
519, 6, 1511889640806, 463.904, 549.649, 0.344817
520, 6, 1511889640912, 461.469, 542.294, 0.34005
521, 6, 1511889641041, 470.425, 550.787, 0.334204
522, 6, 1511889641107, 472.455, 563.239, 0.343226
523, 6, 1511889641309, 471.087, 581.791, 0.362852
524, 6, 1511889641447, 471.694, 590.378, 0.415475
525, 6, 1511889641512, 476.41, 594.355, 0.375962
526, 6, 1511889641695, 486.574, 603.42, 0.301148
527, 6, 1511889641770, 489.008, 603.658, 0.422622
528, 6, 1511889641941, 542.576, 593.316, 0.335612
529, 6, 1511889642047, 526.992, 579.022, 0.305522
530, 6, 1511889642210, 504.602, 567.426, 0.262889
531, 6, 1511889642340, 500.201, 564.147, 0.283393
532, 6, 1511889642406, 518.175, 580.437, 0.332711
533, 6, 1511889642511, 511.49, 593.985, 0.362557
534, 6, 1511889642641, 495.88, 598.455, 0.357209
535, 6, 1511889642801, 527.021, 596.554, 0.330875
536, 6, 1511889642840, 507.236, 593.594, 0.355506
537, 6, 1511889642945, 483.488, 590.876, 0.344841
538, 6, 1511889643043, 500.908, 589.832, 0.351076
539, 6, 1511889643107, 504.465, 585.21, 0.351398
540, 6, 1511889643246, 509.088, 587.957, 0.355791
541, 6, 1511889643342, 523.474, 589.188, 0.338488
542, 6, 1511889643419, 516.314, 587.86, 0.364747
543, 6, 1511889643513, 504.498, 581.185, 0.326667
544, 6, 1511889643601, 514.394, 574.844, 0.252969
545, 6, 1511889643706, 540.013, 573.815, 0.239326
546, 6, 1511889643769, 534.996, 570.031, 0.230077
547, 6, 1511889643845, 563.869, 579.066, 0.40018
548, 6, 1511889643901, 613.944, 614.686, 0.614428
549, 6, 1511889643942, 583.031, 639.784, 0.479762
550, 6, 1511889644005, 578.946, 646.309, 0.381487
551, 6, 1511889644102, 593.471, 673.502, 0.67186
552, 6, 1511889644145, 629.477, 675.528, 0.612191
553, 6, 1511889644295, 632.467, 690.511, 0.499518
554, 6, 1511889644339, 537.934, 692.626, 0.41485
555, 6, 1511889644444, 533.046, 631.595, 0.356294
556, 6, 1511889644541, 618.438, 621.366, 0.484418
557, 6, 1511889644595, 676.297, 644.451, 1.09332
558, 6, 1511889644746, 931.467, 703.1, 1.2461
559, 6, 1511889644853, 963.643, 760.022, 3.5294
560, 6, 1511889644995, 886.53, 696.493, 0.479141
561, 6, 1511889645048, 896.14, 682.736, 0.746353
562, 6, 1511889645142, 806.466, 656.432, 0.435068
563, 6, 1511889645217, 777.827, 637.081, 0.284241
564, 6, 1511889645304, 756.047, 620.298, 0.337077
565, 6, 1511889645440, 699.41, 602.84, 0.240703
566, 6, 1511889645570, 662.162, 599.733, 0.237684
567, 6, 1511889645705, 747.872, 622.541, 0.428609
568, 6, 1511889645803, 792.771, 651.6, 1.25081
569, 6, 1511889645940, 926.701, 747.695, 3.82541
570, 6, 1511889646070, 1008.94, 780.842, 3.94903
571, 6, 1511889646110, 986.616, 783.176, 3.0534
572, 6, 1511889646198, 1015.82, 773.41, 2.545
573, 6, 1511889646242, 979.331, 767.388, 2.09914
574, 6, 1511889646315, 956.751, 743.48, 1.25968
575, 6, 1511889646402, 883.948, 716.727, 1.00409
576, 6, 1511889646444, 842.587, 701.981, 0.859299
577, 6, 1511889646510, 838.484, 697.626, 0.88859
578, 6, 1511889646613, 808.086, 669.596, 0.372177
579, 6, 1511889646700, 750.677, 677.068, 0.875396
